# Post-cutoff arm of the memorization control: repository and pinned commit per class.
# All 600 repositories had their first commit after every panel model's training cutoff.
class_id,repository,commit,path,loc,test_framework
ctl_0000,github.com/nova-labs/nova-000,46685257bdd640fb06671ad11c80317fa3b1799d,src/main/java/com/novalabs/module00/Class0000.java,766,junit5
ctl_0001,github.com/brightfold/brightfold-000,1a3d1fa7bc8960a923b8c1e9392456de3eb13b90,src/main/java/com/brightfo/module01/Class0001.java,542,junit4
ctl_0002,github.com/kestrel-io/kestrel-000,16419f828b9d2434e465e150bd9c66b3ad3c2d6d,src/main/java/com/kestreli/module02/Class0002.java,2361,junit4
ctl_0003,github.com/openmargin/openmargin-000,17fc695a07a0ca6e0822e8f36c031199972a8469,src/main/java/com/openmarg/module03/Class0003.java,336,junit4
ctl_0004,github.com/tidewater/tidewater-000,06cb0fb39a1de644815ef6d13b8faa1837f8a88b,src/main/java/com/tidewate/module04/Class0004.java,984,junit4
ctl_0005,github.com/helioform/helioform-000,b38a088ca65ed389b74d0fb132e706298fadc1a6,src/main/java/com/heliofor/module05/Class0005.java,328,junit4
ctl_0006,github.com/quarryside/quarryside-000,96da1dac72ff5d2a386ecbe06b65a6a48b8148f6,src/main/java/com/quarrysi/module06/Class0006.java,249,junit5
ctl_0007,github.com/northbeam/northbeam-000,c241330b01a9e71fde8a774bcf36d58b47378190,src/main/java/com/northbea/module07/Class0007.java,878,junit5
ctl_0008,github.com/nova-labs/nova-001,571aa8766c307511b2b9437a28df6ec4ce4a2bbd,src/main/java/com/novalabs/module08/Class0008.java,746,junit4
ctl_0009,github.com/brightfold/brightfold-001,c37459eef50bea63371ecd7b27cd813047229389,src/main/java/com/brightfo/module09/Class0009.java,1457,junit4
ctl_0010,github.com/kestrel-io/kestrel-001,18c267976142ea7d17be31111a2a73ed562b0f79,src/main/java/com/kestreli/module10/Class0010.java,186,junit4
ctl_0011,github.com/openmargin/openmargin-001,43b7a3a69a8dca03580d7b71d8f564135be6128e,src/main/java/com/openmarg/module11/Class0011.java,781,junit4
ctl_0012,github.com/tidewater/tidewater-001,89463e85759cde66bacfb3d00b1f9163ce9ff57f,src/main/java/com/tidewate/module12/Class0012.java,821,junit4
ctl_0013,github.com/helioform/helioform-001,142c3fe860e7a113ec1b8ca1f91e1d4c1ff49b78,src/main/java/com/heliofor/module13/Class0013.java,330,junit5
ctl_0014,github.com/quarryside/quarryside-001,9e574f7aa0ee89aed453dd324b0dbb418d5288f1,src/main/java/com/quarrysi/module14/Class0014.java,1905,junit4
ctl_0015,github.com/northbeam/northbeam-001,3139d32c93cd59bf5c941cf0dc98d2c1e2acf72f,src/main/java/com/northbea/module15/Class0015.java,339,other
ctl_0016,github.com/nova-labs/nova-002,3a578a8ea9488d990bbb259911ce5dd2b45ed1f0,src/main/java/com/novalabs/module16/Class0016.java,633,junit4
ctl_0017,github.com/brightfold/brightfold-002,daf61a26146d3f31fc377a4c4a15544dc5e7ce8a,src/main/java/com/brightfo/module00/Class0017.java,1067,other
ctl_0018,github.com/kestrel-io/kestrel-002,47294739614ff3d719db3ad0ddd1dfb23b982ef8,src/main/java/com/kestreli/module01/Class0018.java,901,junit5
ctl_0019,github.com/openmargin/openmargin-002,29a3b2e95d65a441d58842dea2bc372f7412b293,src/main/java/com/openmarg/module02/Class0019.java,1581,junit5
