# Compilation Rate Improvement Analysis by Model and Strategy
# This table shows the initial CR, final CR (after correction), and the improvement

model,prompt,initial_CR,final_CR,improvement_pp,fix_rate_percent
gpt-4o-mini,zero-shot,42,86,44,75.9
gpt-4o-mini,few-shot,63,92,29,78.4
gpt-4o-mini,dynamic,84,96,12,75.0
gpt-4o-mini,pseudo-code,58,90,32,76.2
gpt-4.1,zero-shot,55,90,35,77.8
gpt-4.1,few-shot,74,95,21,80.8
gpt-4.1,dynamic,95,98,3,60.0
gpt-4.1,pseudo-code,72,94,22,78.6
o3,zero-shot,50,88,38,76.0
o3,few-shot,71,93,22,75.9
o3,dynamic,90,97,7,70.0
o3,pseudo-code,69,92,23,74.2
o4-mini,zero-shot,44,86,42,75.0
o4-mini,few-shot,68,92,24,75.0
o4-mini,dynamic,88,96,8,66.7
o4-mini,pseudo-code,66,91,25,73.5
gemini-1.5-pro,zero-shot,35,80,45,69.2
gemini-1.5-pro,few-shot,58,90,32,76.2
gemini-1.5-pro,dynamic,78,94,16,72.7
gemini-1.5-pro,pseudo-code,55,89,34,75.6
gemini-2.5-pro,zero-shot,48,87,39,75.0
gemini-2.5-pro,few-shot,70,93,23,76.7
gemini-2.5-pro,dynamic,92,97,5,62.5
gemini-2.5-pro,pseudo-code,69,92,23,74.2
llama3.1:70b,zero-shot,48,86,38,73.1
llama3.1:70b,few-shot,75,94,19,76.0
llama3.1:70b,dynamic,78,94,16,72.7
llama3.1:70b,pseudo-code,70,92,22,73.3
deepseek-r1,zero-shot,45,87,42,76.4
deepseek-r1,few-shot,70,93,23,76.7
deepseek-r1,dynamic,96,98,2,50.0
deepseek-r1,pseudo-code,72,94,22,78.6
grok-3,zero-shot,42,86,44,75.9
grok-3,few-shot,69,92,23,74.2
grok-3,dynamic,80,94,14,70.0
grok-3,pseudo-code,66,90,24,70.6
