# Ablation study, per class (paper Sec. 4.7, tab:ablation_results).
# 2,000 stratified classes x 5 configurations, paired: every configuration produced a
# result for every class. The No-Classifier arm is identical to Full Crew on every
# class that compiled on the first attempt, since the Classifier runs only from the
# second correction attempt onward and cannot affect a class that never reached it.
class_id,repo_id,class_name,package,configuration,CR_initial,CR_after_fix,fix_iterations,line_coverage,branch_coverage,method_coverage,mutation_score,num_tests,AR,EH,MG,EA,LT,UT,RO,MNT
1,13000,Class0000,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,99.78,98.57,100.00,95.11,19,0.28,0,0,0,1.57,0,0,9
2,13001,Class0001,com.example.service,Full Crew (Baseline),100.0,100.0,0,100.00,93.96,100.00,100.00,14,0.13,0,0,0,0.98,2,0,9
3,13002,Class0002,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,90.22,100.00,96.35,7,0.57,0,0,3,1.43,0,0,5
4,13003,Class0003,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,22,0.33,0,0,1,0.60,0,0,8
5,13004,Class0004,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,97.18,100.00,90.73,18,0.21,0,0,0,1.03,0,0,9
6,13005,Class0005,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,5,0.38,1,0,3,0.00,2,1,8
7,13006,Class0006,com.example.service,Full Crew (Baseline),100.0,100.0,0,93.10,84.65,93.27,100.00,17,0.63,0,0,2,1.47,0,0,7
8,13007,Class0007,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,99.23,100.00,100.00,12,0.26,1,0,1,1.30,0,0,7
9,13008,Class0008,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,93.98,100.00,97.69,9,0.40,1,0,0,1.34,1,0,10
10,13009,Class0009,com.data.repo,Full Crew (Baseline),100.0,100.0,0,80.32,79.52,86.48,74.55,6,0.80,1,0,0,1.56,0,0,8
11,13010,Class0010,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,85.09,82.14,96.26,65.45,24,0.33,0,0,1,1.90,0,0,9
12,13011,Class0011,com.example.service,Full Crew (Baseline),100.0,100.0,0,94.78,89.05,95.15,99.33,21,0.49,0,0,0,0.67,0,0,7
13,13012,Class0012,org.apache.util,Full Crew (Baseline),100.0,100.0,0,93.34,88.96,100.00,73.26,19,0.42,0,0,1,1.76,1,0,8
14,13013,Class0013,io.core.net,Full Crew (Baseline),100.0,100.0,0,86.82,76.45,90.98,96.82,7,0.57,0,0,0,1.78,1,0,6
15,13014,Class0014,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,97.97,100.00,100.00,17,0.15,0,0,0,2.22,0,0,7
16,13015,Class0015,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,94.38,94.49,98.53,92.51,8,0.35,0,0,0,0.75,0,0,8
17,13016,Class0016,com.example.service,Full Crew (Baseline),100.0,100.0,0,92.56,88.59,95.85,89.91,12,0.30,0,0,0,1.47,0,0,16
18,13017,Class0017,org.apache.util,Full Crew (Baseline),100.0,100.0,0,89.49,83.42,91.91,100.00,15,0.39,0,0,0,2.18,0,1,12
19,13018,Class0018,io.core.net,Full Crew (Baseline),100.0,100.0,0,90.99,87.96,93.17,86.87,21,0.80,0,0,2,1.29,0,0,8
20,13019,Class0019,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,93.41,100.00,91.03,21,0.40,0,0,2,0.94,0,0,10
21,13020,Class0020,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,95.62,88.53,100.00,87.70,16,0.34,1,0,1,2.03,0,0,12
22,13021,Class0021,com.example.service,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,92.87,10,0.21,0,0,2,1.58,0,1,9
23,13022,Class0022,org.apache.util,Full Crew (Baseline),0.0,0.0,5,,,,,20,,,,,,,,
24,13023,Class0023,io.core.net,Full Crew (Baseline),100.0,100.0,0,89.61,86.10,90.45,100.00,5,0.49,0,0,1,2.09,0,0,11
25,13024,Class0024,com.data.repo,Full Crew (Baseline),100.0,100.0,0,81.09,74.30,82.91,84.25,13,0.50,0,0,0,1.52,0,1,10
26,13025,Class0025,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,97.81,100.00,27,0.00,0,0,0,1.53,1,0,9
27,13026,Class0026,com.example.service,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,98.61,22,0.12,0,0,1,0.65,0,0,7
28,13027,Class0027,org.apache.util,Full Crew (Baseline),100.0,100.0,0,98.69,91.21,98.48,96.98,13,0.55,1,0,0,2.07,1,0,6
