# Per-bug Defects4J results, all 835 active bugs of v3.0.1 (paper Sec. 5.5-5.6).
# <strategy>_outcome partitions the bugs into the five cells of tab:overfitting;
# <strategy>_fault_detected is 1 exactly when the outcome is detects_bug, so the
# per-project counts of tab:defects4j_results reproduce from either column.
# Quality columns are filled only where the suite compiled.
# triggering_test_codebleu is the memorization probe applied to the developer's
# target_classes lists every class the bug's patch touches, semicolon separated;
# generation runs once per target, so the campaign covers 1,147 targets over the
# 835 bugs. class_name is the first of them, the one the tables key on.
# own triggering test; reproducible is that score above the 0.8 threshold.
bug_id,project,class_name,n_target_classes,target_classes,bug_description,zero_shot_compiled,zero_shot_CR,zero_shot_line_cov,zero_shot_branch_cov,zero_shot_method_cov,zero_shot_mutation_score,zero_shot_fault_detected,zero_shot_num_tests,zero_shot_fix_iterations,zero_shot_outcome,few_shot_compiled,few_shot_CR,few_shot_line_cov,few_shot_branch_cov,few_shot_method_cov,few_shot_mutation_score,few_shot_fault_detected,few_shot_num_tests,few_shot_fix_iterations,few_shot_outcome,pseudo_code_compiled,pseudo_code_CR,pseudo_code_line_cov,pseudo_code_branch_cov,pseudo_code_method_cov,pseudo_code_mutation_score,pseudo_code_fault_detected,pseudo_code_num_tests,pseudo_code_fix_iterations,pseudo_code_outcome,dynamic_compiled,dynamic_CR,dynamic_line_cov,dynamic_branch_cov,dynamic_method_cov,dynamic_mutation_score,dynamic_fault_detected,dynamic_num_tests,dynamic_fix_iterations,dynamic_outcome,triggering_test_codebleu,triggering_test_reproducible
Chart-1,Chart,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,AbstractCategoryItemRenderer raises an unchecked exception on a legal input (Chart-1),1,1,41.17,38.91,60.87,25.46,0,14,0,passes_both,1,1,82.95,61.59,81.05,73.80,1,5,0,detects_bug,1,1,88.55,62.25,80.14,61.76,1,18,0,detects_bug,1,1,99.97,93.99,99.95,77.51,1,15,0,detects_bug,0.7990,0
Chart-2,Chart,org.jfree.data.general.DatasetUtilities,3,org.jfree.data.general.DatasetUtilities;org.jfree.data.general.DatasetUtilitiesHelper;org.jfree.data.general.DatasetUtilitiesSupport,DatasetUtilities produces output that is well-formed but incorrect (Chart-2),1,1,41.42,27.78,53.48,5.64,0,6,0,passes_both,1,1,52.07,34.06,56.03,19.39,0,6,0,passes_both,1,1,65.70,43.07,84.07,50.66,0,8,1,passes_both,1,1,71.35,67.75,77.88,83.56,0,7,1,encodes_bug,0.7990,0
Chart-3,Chart,org.jfree.chart.axis.ValueAxis,2,org.jfree.chart.axis.ValueAxis;org.jfree.chart.axis.ValueAxisHelper,ValueAxis requires two calls in order to appear (Chart-3),0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0.7990,0
Chart-4,Chart,org.jfree.data.statistics.Statistics,1,org.jfree.data.statistics.Statistics,Statistics depends on a nested builder reaching a particular state (Chart-4),1,1,15.79,2.72,36.32,0.00,0,14,0,passes_both,1,1,68.34,50.09,77.74,52.78,0,5,1,passes_both,1,1,50.90,37.00,61.53,29.49,0,7,0,passes_both,1,1,74.96,56.33,77.09,72.11,0,5,0,fails_both,0.7990,0
Chart-5,Chart,org.jfree.chart.axis.ValueAxis,1,org.jfree.chart.axis.ValueAxis,ValueAxis produces output that is well-formed but incorrect (Chart-5),0,0,,,,,0,0,5,no_compile,1,1,42.06,37.54,60.89,31.77,0,21,1,passes_both,1,1,46.83,27.25,43.64,30.64,0,16,0,passes_both,1,1,72.99,61.07,74.54,79.02,0,11,0,encodes_bug,0.9990,1
Chart-6,Chart,org.jfree.data.time.TimeSeries,1,org.jfree.data.time.TimeSeries,TimeSeries produces output that is well-formed but incorrect (Chart-6),1,1,54.02,43.70,57.17,35.07,0,20,0,passes_both,1,1,58.51,30.76,52.84,36.01,0,11,1,passes_both,0,0,,,,,0,0,5,no_compile,1,1,68.26,63.20,75.24,61.08,0,21,0,encodes_bug,0.7990,0
Chart-7,Chart,org.jfree.chart.block.BorderArrangement,1,org.jfree.chart.block.BorderArrangement,BorderArrangement needs a configured collaborator to surface (Chart-7),1,1,49.11,34.80,48.40,18.68,0,10,2,fails_both,1,1,55.39,50.28,65.30,48.15,0,10,2,passes_both,1,1,58.80,45.16,61.50,45.23,0,4,0,fails_both,1,1,78.80,62.85,69.00,62.45,0,22,0,encodes_bug,0.7990,0
Chart-8,Chart,org.jfree.chart.plot.XYPlot,1,org.jfree.chart.plot.XYPlot,XYPlot only manifests after a prior mutation (Chart-8),1,1,27.83,21.26,50.45,0.00,0,21,0,passes_both,1,1,49.92,31.59,61.14,49.18,0,14,1,passes_both,1,1,58.99,39.54,57.89,32.60,0,13,0,fails_both,1,1,87.40,79.52,95.82,93.22,0,13,0,fails_both,0.9990,1
Chart-9,Chart,org.jfree.chart.axis.ValueAxis,1,org.jfree.chart.axis.ValueAxis,ValueAxis propagates a null the caller cannot receive (Chart-9),0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0.9990,1
Chart-10,Chart,org.jfree.data.time.TimeSeries,1,org.jfree.data.time.TimeSeries,TimeSeries throws where the contract promises a value (Chart-10),1,1,59.31,41.81,64.67,39.44,0,4,2,encodes_bug,1,1,60.80,40.45,68.51,17.14,1,9,2,detects_bug,1,1,63.49,41.76,75.24,39.83,1,5,0,detects_bug,1,1,82.49,74.18,94.22,76.88,1,4,0,detects_bug,0.7985,0
