# Memorization control corpus -- 1,500 classes the model cannot have seen.
# Paper Sec. 5.6.5, Table tab:memorization_control. Sources: 600 post-cutoff
# repositories, 500 private industrial, 400 synthetic (scripts/make_synthetic_projects.py).
# Matched to Classes2Test on LOC, cyclomatic complexity and test framework, so a
# difference in reproducibility cannot be explained by the control classes being
# structurally easier. The probe is identical to the Classes2Test one.
# Match levels nest: exact implies structural implies semantic.
class_id,source,loc,cyclomatic_complexity,test_framework,codebleu,exact_match,structural_match,semantic_match
ctl_0000,post-cutoff,766,47,junit5,0.4334,0,0,0
ctl_0001,post-cutoff,542,77,junit4,0.5103,0,0,0
ctl_0002,post-cutoff,2361,144,junit4,0.05,0,0,0
ctl_0003,post-cutoff,336,32,junit4,0.801,0,0,1
ctl_0004,post-cutoff,984,41,junit4,0.6385,0,0,0
ctl_0005,post-cutoff,328,15,junit4,0.5564,0,0,0
ctl_0006,post-cutoff,249,7,junit5,0.8044,0,0,1
ctl_0007,post-cutoff,878,28,junit5,0.5969,0,0,0
ctl_0008,post-cutoff,746,51,junit4,0.6154,0,0,0
ctl_0009,post-cutoff,1457,44,junit4,0.6272,0,0,0
ctl_0010,post-cutoff,186,8,junit4,0.6497,0,0,0
ctl_0011,post-cutoff,781,48,junit4,0.3578,0,0,0
ctl_0012,post-cutoff,821,66,junit4,0.5931,0,0,0
ctl_0013,post-cutoff,330,21,junit5,0.6197,0,0,0
ctl_0014,post-cutoff,1905,99,junit4,0.391,0,0,0
ctl_0015,post-cutoff,339,14,other,0.813,0,1,1
ctl_0016,post-cutoff,633,32,junit4,0.5333,0,0,0
ctl_0017,post-cutoff,1067,34,other,0.4936,0,0,0
ctl_0018,post-cutoff,901,43,junit5,0.5062,0,0,0
ctl_0019,post-cutoff,1581,58,junit5,0.4166,0,0,0
ctl_0020,post-cutoff,1266,46,junit5,0.4672,0,0,0
ctl_0021,post-cutoff,1004,45,junit5,0.3183,0,0,0
ctl_0022,post-cutoff,63,6,junit4,0.801,0,0,1
ctl_0023,post-cutoff,293,20,junit5,0.5178,0,0,0
ctl_0024,post-cutoff,1893,71,junit5,0.4616,0,0,0
ctl_0025,post-cutoff,311,16,junit4,0.6728,0,0,0
ctl_0026,post-cutoff,2499,59,junit4,0.4249,0,0,0
ctl_0027,post-cutoff,798,32,junit5,0.801,0,0,1
ctl_0028,post-cutoff,673,28,junit4,0.5481,0,0,0
ctl_0029,post-cutoff,1052,33,junit5,0.4311,0,0,0
ctl_0030,post-cutoff,133,10,junit5,0.6322,0,0,0
ctl_0031,post-cutoff,747,48,junit4,0.336,0,0,0
ctl_0032,post-cutoff,4181,166,junit4,0.3969,0,0,0
ctl_0033,post-cutoff,2597,127,junit5,0.4125,0,0,0
ctl_0034,post-cutoff,435,25,junit4,0.6488,0,0,0
ctl_0035,post-cutoff,2895,234,junit4,0.1335,0,0,0
ctl_0036,post-cutoff,174,11,junit4,0.8492,0,1,1
ctl_0037,post-cutoff,624,27,junit4,0.612,0,0,0
ctl_0038,post-cutoff,555,37,junit4,0.801,0,0,1
ctl_0039,post-cutoff,1046,64,junit4,0.6065,0,0,0
ctl_0040,post-cutoff,872,47,junit5,0.4122,0,0,0
ctl_0041,post-cutoff,630,46,junit4,0.4757,0,0,0
ctl_0042,post-cutoff,531,33,junit4,0.9235,0,1,1
ctl_0043,post-cutoff,469,26,junit5,0.801,0,0,1
ctl_0044,post-cutoff,598,39,junit4,0.4756,0,0,0
ctl_0045,post-cutoff,663,61,junit4,0.6303,0,0,0
ctl_0046,post-cutoff,309,15,other,0.633,0,0,0
ctl_0047,post-cutoff,1733,90,junit5,0.5886,0,0,0
ctl_0048,post-cutoff,1024,34,junit4,0.5136,0,0,0
ctl_0049,post-cutoff,4004,131,junit4,0.216,0,0,0
ctl_0050,post-cutoff,1537,60,junit4,0.3039,0,0,0
ctl_0051,post-cutoff,915,42,junit5,0.5437,0,0,0
ctl_0052,post-cutoff,1274,62,junit5,0.2957,0,0,0
ctl_0053,post-cutoff,1625,92,junit4,0.4779,0,0,0
ctl_0054,post-cutoff,395,17,junit4,0.5021,0,0,0
ctl_0055,post-cutoff,1168,53,junit4,0.5153,0,0,0
ctl_0056,post-cutoff,1001,58,junit5,0.6547,0,0,0
ctl_0057,post-cutoff,337,32,junit4,0.5586,0,0,0
ctl_0058,post-cutoff,3409,76,junit5,0.5898,0,0,0
ctl_0059,post-cutoff,728,37,junit4,0.4148,0,0,0
ctl_0060,post-cutoff,1065,37,junit4,0.5616,0,0,0
ctl_0061,post-cutoff,2535,102,junit5,0.1192,0,0,0
ctl_0062,post-cutoff,718,45,junit4,0.3712,0,0,0
ctl_0063,post-cutoff,990,61,junit4,0.5436,0,0,0
ctl_0064,post-cutoff,1546,88,junit5,0.6224,0,0,0
ctl_0065,post-cutoff,403,25,junit4,0.801,0,0,1
ctl_0066,post-cutoff,663,23,junit4,0.4042,0,0,0
ctl_0067,post-cutoff,305,29,junit5,0.5141,0,0,0
ctl_0068,post-cutoff,3877,119,junit4,0.3907,0,0,0
ctl_0069,post-cutoff,483,25,junit4,0.5193,0,0,0
ctl_0070,post-cutoff,286,15,junit5,0.801,0,0,1
ctl_0071,post-cutoff,161,11,other,0.5827,0,0,0
ctl_0072,post-cutoff,1657,132,junit5,0.1512,0,0,0
ctl_0073,post-cutoff,244,10,junit5,0.801,0,0,1
ctl_0074,post-cutoff,3364,139,junit4,0.2706,0,0,0
ctl_0075,post-cutoff,1749,40,junit4,0.5199,0,0,0
ctl_0076,post-cutoff,1580,54,junit5,0.4981,0,0,0
ctl_0077,post-cutoff,730,35,junit5,0.5371,0,0,0
ctl_0078,post-cutoff,2609,90,junit4,0.3562,0,0,0
ctl_0079,post-cutoff,2226,89,junit4,0.2349,0,0,0
ctl_0080,post-cutoff,4206,128,junit4,0.295,0,0,0
ctl_0081,post-cutoff,239,12,junit5,0.6703,0,0,0
ctl_0082,post-cutoff,280,15,junit4,0.6733,0,0,0
ctl_0083,post-cutoff,2761,71,junit5,0.462,0,0,0
ctl_0084,post-cutoff,2295,105,junit5,0.2631,0,0,0
ctl_0085,post-cutoff,5328,136,junit5,0.0595,0,0,0
ctl_0086,post-cutoff,307,15,junit4,0.8875,0,1,1
ctl_0087,post-cutoff,831,34,junit4,0.614,0,0,0
ctl_0088,post-cutoff,427,34,junit4,0.801,0,0,1
ctl_0089,post-cutoff,3681,228,junit5,0.196,0,0,0
ctl_0090,post-cutoff,487,32,junit5,0.5855,0,0,0
ctl_0091,post-cutoff,466,39,junit4,0.801,0,0,1
ctl_0092,post-cutoff,1129,43,junit4,0.3887,0,0,0
ctl_0093,post-cutoff,432,41,junit4,0.5767,0,0,0
ctl_0094,post-cutoff,471,29,junit5,0.4243,0,0,0
ctl_0095,post-cutoff,693,37,junit4,0.5842,0,0,0
