model,prompt_name,branch_coverage,line_coverage,method_coverage,mutation_score,AR,EH,MG,EA,LT,UT,RO,MNT,CR_initial,CR_after_fix,num_attempts
deepseek-r1,dynamic,91.2,94.1,96.2,90.5,0.45,0.22,0.03,0.4,1.35,0.07,0.04,3.15,96,98,1.02
deepseek-r1,few-shot,58.5,70.2,79.8,52.5,1.31,0.44,0.1,1.9,3.5,0.3,0.1,6.05,70,93,1.25
deepseek-r1,pseudo-code,78.8,86.5,91.0,74.0,0.75,0.32,0.06,1,2.05,0.15,0.06,4.52,72,94,1.23
deepseek-r1,zero-shot,39.2,61.0,72.1,28.8,1.91,0.6,0.12,2.42,4.5,0.4,0.12,7.2,45,87,1.48
gemini-1.5-pro,dynamic,58.5,77.2,85.0,64.8,1.45,0.33,0.05,1.45,2.9,0.2,0.08,4.9,78,94,1.17
gemini-1.5-pro,few-shot,44.6,89.8,92.9,72.0,1.96,0.41,0.03,2.92,3.25,0.03,0.19,5.15,58,90,1.36
gemini-1.5-pro,pseudo-code,51.8,70.5,80.1,60.8,1.6,0.36,0.06,1.92,3.18,0.23,0.1,5.2,55,89,1.38
gemini-1.5-pro,zero-shot,22.6,55.4,62.8,30.1,1.67,0.42,0.09,2.85,3.71,0.29,0.1,5.5,35,80,1.56
gemini-2.5-pro,dynamic,89.8,93.2,96.0,79.5,0.68,0.24,0.05,0.48,2.1,0.15,0.04,4.22,92,97,1.05
gemini-2.5-pro,few-shot,72.0,83.0,89.2,68.2,1.12,0.35,0.07,1.45,2.82,0.22,0.08,5.5,70,93,1.25
gemini-2.5-pro,pseudo-code,81.1,88.5,92.5,72.1,0.86,0.29,0.06,0.88,2.52,0.18,0.06,5.05,69,92,1.25
gemini-2.5-pro,zero-shot,54.0,70.0,81.5,49.2,1.45,0.41,0.1,2.12,3.6,0.26,0.11,6.45,48,87,1.45
gpt-4.1,dynamic,90.5,93.8,96.5,92.1,0.42,0.2,0.03,0.38,1.31,0.06,0.03,3.1,95,98,1.03
gpt-4.1,few-shot,74.2,84.0,89.8,70.5,0.95,0.35,0.06,1.25,2.6,0.2,0.07,5.05,74,95,1.22
gpt-4.1,pseudo-code,78.1,87.9,92.5,76.2,0.71,0.28,0.05,0.92,1.95,0.12,0.05,4.2,72,94,1.23
gpt-4.1,zero-shot,57.0,70.5,80.5,49.0,1.3,0.49,0.1,2.2,3.85,0.3,0.1,6.6,55,90,1.39
gpt-4o-mini,dynamic,70.2,82.5,87.0,67.2,0.9,0.29,0.07,1.05,2.55,0.18,0.06,5.85,84,96,1.12
gpt-4o-mini,few-shot,62.1,71.3,81.1,61.0,1.01,0.36,0.08,1.54,3.18,0.26,0.08,6.6,63,92,1.32
gpt-4o-mini,pseudo-code,66.8,78.1,84.2,62.8,1,0.33,0.08,1.32,2.9,0.21,0.07,6.2,58,90,1.36
gpt-4o-mini,zero-shot,41.9,64.8,77.2,44.5,1.28,0.79,0.19,2.11,4.52,0.33,0.11,7.05,42,86,1.51
grok-3,dynamic,73.0,82.5,89.0,64.8,0.93,0.32,0.07,1.1,2.8,0.24,0.09,5.3,80,94,1.15
grok-3,few-shot,63.2,74.8,83.1,58.0,1.12,0.42,0.09,1.75,3.12,0.29,0.11,5.9,69,92,1.25
grok-3,pseudo-code,69.0,78.2,85.5,60.8,1.05,0.36,0.09,1.4,3,0.27,0.1,5.65,66,90,1.27
grok-3,zero-shot,44.2,65.5,76.5,40.2,1.52,0.58,0.14,2.32,4.12,0.38,0.13,6.92,42,86,1.51
human,-,48.7,73.2,74.0,40.4,2.18,0.69,0.1,1.68,3.05,0.58,0.08,4.22,100,100,1
llama3.1:70b,dynamic,77.2,86.0,90.5,70.2,0.65,0.28,0.06,0.98,1.95,0.12,0.05,4.1,78,94,1.17
llama3.1:70b,few-shot,79.8,85.6,90.3,89.2,0.55,0.3,0.05,1.31,1.72,0.1,0.03,3.85,75,94,1.2
llama3.1:70b,pseudo-code,73.0,82.0,88.2,66.5,0.78,0.31,0.06,1.2,2.1,0.14,0.07,4.8,70,92,1.24
llama3.1:70b,zero-shot,71.2,80.3,84.9,32.0,1.77,0.27,0.07,0.51,1.58,0.49,0.12,6.2,48,86,1.44
o3,dynamic,88.2,92.0,95.2,78.8,0.65,0.25,0.05,0.55,2.12,0.15,0.04,4.35,90,97,1.07
o3,few-shot,73.8,82.2,88.2,68.5,1.08,0.38,0.07,1.4,2.82,0.23,0.09,5.45,71,93,1.24
o3,pseudo-code,80.0,87.0,91.5,72.5,0.82,0.3,0.06,0.9,2.45,0.17,0.06,4.9,69,92,1.25
o3,zero-shot,60.2,71.5,81.0,48.8,1.4,0.5,0.11,2.33,3.92,0.32,0.12,6.7,50,88,1.43
o4-mini,dynamic,83.5,89.7,93.2,71.5,0.8,0.3,0.06,0.75,2.38,0.17,0.06,4.65,88,96,1.08
o4-mini,few-shot,69.8,79.6,86.1,64.8,1.12,0.43,0.08,1.62,2.92,0.24,0.09,5.6,68,92,1.26
o4-mini,pseudo-code,75.2,84.8,89.5,68.0,0.93,0.33,0.07,1.05,2.62,0.2,0.08,5,66,91,1.27
o4-mini,zero-shot,52.0,67.0,77.2,46.5,1.6,0.62,0.12,2.4,4.22,0.33,0.14,6.95,44,86,1.49
