# Per-class results, RQ1-RQ4 (paper Sec. 5.1-5.4).
# STRATIFIED SAMPLE, not the full corpus. Generation and the build ran on all
# 147,473 classes, so the compilation-rate and attempt columns of
# tab:extended_results_with_compilation are corpus-wide. Coverage, mutation and
# smell columns are computed on these 400 classes per configuration, drawn once
# by lines of code and cyclomatic complexity and held fixed across all 37
# configurations so that every comparison is paired. Sampling error on a quality
# column is about +/-2 pp; see tab:rq1_dispersion.
# pit_tests_run is the number of tests PIT actually ran against after
# skipFailingTests; it equals tests_run wherever the final suite passes.
# semantically_reproducible is the memorization probe's verdict for the class,
# at the CodeBLEU 0.8 threshold; it is a property of the class, so it is the
# same across every configuration of that class.
# Class and repository identifiers are anonymised.
project_id,class_name,qualified_name,model,strategy,compiled_initially,compiled,tests_passed,attempts,correction_iterations,correction_termination,line_coverage,branch_coverage,method_coverage,mutation_score,mutants_killed,mutants_survived,mutants_excluded,smell_detector,AR,EH,MG,EA,LT,UT,RO,MNT,initial_error_category,initial_error_phase,error_resolved,tests_run,pit_tests_run,test_failures,prompt_tokens,completion_tokens,duration_seconds,error,test_file,semantically_reproducible
repo_000,Class000,com.example.p0.Class000,gpt-4o-mini,zero-shot,1,1,1,1,0,success,82.9997,51.8189,84.3676,72.7476,8,3,1,tsdetect,0,0,0,4,3,0,0,3,,,0,7,7,0,4687,1462,11.17,,src/test/java/com/example/p0/Class000Test.java,1
repo_001,Class001,com.example.p1.Class001,gpt-4o-mini,zero-shot,1,1,1,1,0,success,74.7949,52.3892,82.3583,72.7190,8,3,1,tsdetect,1,2,0,2,5,0,0,7,,,0,8,8,0,4101,1609,14.8,,src/test/java/com/example/p1/Class001Test.java,0
repo_002,Class002,com.example.p2.Class002,gpt-4o-mini,zero-shot,1,1,1,1,0,success,83.6861,65.4844,94.5518,71.4908,25,10,2,tsdetect,0,0,0,3,3,1,0,5,,,0,7,7,0,4401,1255,29.81,,src/test/java/com/example/p2/Class002Test.java,1
repo_003,Class003,com.example.p3.Class003,gpt-4o-mini,zero-shot,1,1,1,1,0,success,73.9340,50.0176,86.6568,36.4148,4,7,1,tsdetect,0,0,0,3,4,0,0,4,,,0,8,8,0,4343,1207,17.48,,src/test/java/com/example/p3/Class003Test.java,0
repo_004,Class004,com.example.p4.Class004,gpt-4o-mini,zero-shot,1,1,1,1,0,success,66.4190,52.1247,80.6205,9.0469,1,10,1,tsdetect,0,3,0,3,4,1,0,12,,,0,8,8,0,4150,1131,18.75,,src/test/java/com/example/p4/Class004Test.java,0
repo_005,Class005,com.example.p5.Class005,gpt-4o-mini,zero-shot,0,1,1,2,1,success,58.7153,28.2072,71.2592,49.9617,12,12,2,tsdetect,0,1,0,1,10,2,0,3,syntax_violation,compilation,1,10,10,0,4237,2058,22.6,,src/test/java/com/example/p5/Class005Test.java,0
repo_006,Class006,com.example.p6.Class006,gpt-4o-mini,zero-shot,1,1,1,1,0,success,83.5109,51.2439,93.7538,74.9854,9,3,1,tsdetect,3,2,0,0,3,0,0,4,,,0,10,10,0,4255,1770,15.26,,src/test/java/com/example/p6/Class006Test.java,1
repo_007,Class007,com.example.p7.Class007,gpt-4o-mini,zero-shot,0,1,1,2,1,success,36.7348,18.5322,61.5123,0.0041,0,15,1,tsdetect,2,3,1,3,4,0,0,7,missing_import,compilation,1,13,13,0,4349,1354,12.35,,src/test/java/com/example/p7/Class007Test.java,0
repo_008,Class008,com.example.p8.Class008,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,0,tsdetect,0,0,0,0,0,0,0,0,assertion_failure,test,0,0,0,0,4008,2192,17.18,compilation failed after 5 attempts,,0
repo_009,Class009,com.example.p9.Class009,gpt-4o-mini,zero-shot,1,1,1,1,0,success,87.2318,81.4224,92.7010,63.6822,7,4,1,tsdetect,2,0,0,1,1,0,0,6,,,0,11,11,0,4641,1520,13.03,,src/test/java/com/example/p9/Class009Test.java,0
repo_010,Class010,com.example.p10.Class010,gpt-4o-mini,zero-shot,1,1,1,1,0,success,81.8227,69.2620,83.5754,54.5519,6,5,1,tsdetect,0,0,0,1,2,0,0,5,,,0,9,9,0,3829,1065,16.15,,src/test/java/com/example/p10/Class010Test.java,0
repo_011,Class011,com.example.p11.Class011,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,1,tsdetect,0,0,0,0,0,0,0,0,assertion_failure,test,0,0,0,0,4808,1450,17.33,compilation failed after 5 attempts,,1
repo_012,Class012,com.example.p12.Class012,gpt-4o-mini,zero-shot,1,1,1,1,0,success,64.3048,59.2581,77.7234,45.3426,5,6,1,tsdetect,2,0,0,2,2,0,0,8,,,0,7,7,0,4257,1285,14.28,,src/test/java/com/example/p12/Class012Test.java,0
repo_013,Class013,com.example.p13.Class013,gpt-4o-mini,zero-shot,0,1,1,2,1,success,51.2436,16.9993,68.8293,36.2937,4,7,1,tsdetect,1,1,0,3,7,0,1,10,type_mismatch,compilation,1,5,5,0,4699,1804,22.78,,src/test/java/com/example/p13/Class013Test.java,0
