# RQ6 -- head-to-head on the common Java-8-compatible subset (4,200 classes).
# Paper Table tab:rq6_comparison (Sec. 5.7). One row per class per system.
# All systems run on the same sandboxes and the same metric pipeline; the
# quality columns are populated only where the test finally compiled, and the
# table's means are the means of those columns.
# cost is prompt+completion tokens per class, or CPU-seconds for EvoSuite.
class_id,loc,cyclomatic_complexity,system,compiled_initially,compiled,branch_coverage,line_coverage,mutation_score,mnt,cost,cost_unit
j8_0000,760,32,evosuite,1,1,74.76,76.29,65.7,6.34,243.8,cpu_seconds
j8_0001,1163,62,evosuite,1,1,85.41,89.45,73.46,7.32,242.0,cpu_seconds
j8_0002,1586,69,evosuite,1,1,87.75,91.74,63.98,7.81,199.5,cpu_seconds
j8_0003,1421,74,evosuite,1,1,76.71,87.91,70.62,9.51,183.7,cpu_seconds
j8_0004,630,38,evosuite,1,1,91.08,84.88,74.59,8.23,145.4,cpu_seconds
j8_0005,833,21,evosuite,1,1,65.58,70.14,61.76,14.65,184.8,cpu_seconds
j8_0006,1602,50,evosuite,1,1,69.57,79.49,71.08,12.86,190.9,cpu_seconds
j8_0007,467,29,evosuite,1,1,85.78,84.05,75.8,6.02,151.0,cpu_seconds
j8_0008,461,32,evosuite,1,1,87.5,92.78,88.83,4.51,119.8,cpu_seconds
j8_0009,1335,90,evosuite,1,1,93.7,92.83,81.22,5.83,173.5,cpu_seconds
j8_0010,3346,99,evosuite,1,1,100.0,95.4,84.0,5.13,311.0,cpu_seconds
j8_0011,48,4,evosuite,1,1,79.62,90.73,74.8,9.98,43.7,cpu_seconds
j8_0012,722,37,evosuite,1,1,80.16,87.98,73.33,8.17,206.6,cpu_seconds
j8_0013,390,32,evosuite,1,1,74.17,90.93,82.38,12.48,77.2,cpu_seconds
j8_0014,961,30,evosuite,1,1,89.26,95.23,89.54,5.39,192.6,cpu_seconds
j8_0015,544,25,evosuite,1,1,97.57,95.25,81.96,11.23,208.9,cpu_seconds
j8_0016,681,37,evosuite,1,1,82.54,89.53,64.39,12.2,172.4,cpu_seconds
j8_0017,1087,44,evosuite,1,1,100.0,94.62,73.46,4.69,185.9,cpu_seconds
j8_0018,914,56,evosuite,1,1,68.19,86.31,67.24,11.5,151.4,cpu_seconds
j8_0019,1436,70,evosuite,1,1,81.14,79.86,85.42,10.73,242.6,cpu_seconds
j8_0020,502,30,evosuite,1,1,90.7,81.99,79.55,8.18,72.5,cpu_seconds
j8_0021,335,20,evosuite,1,1,90.66,100.0,99.34,9.19,148.7,cpu_seconds
j8_0022,168,12,evosuite,1,1,93.61,97.54,71.67,3.97,74.6,cpu_seconds
j8_0023,698,25,evosuite,1,1,83.82,82.77,70.11,7.93,124.1,cpu_seconds
j8_0024,626,25,evosuite,1,1,93.87,90.48,76.53,6.72,229.3,cpu_seconds
j8_0025,562,18,evosuite,1,1,61.47,67.98,52.03,12.5,138.0,cpu_seconds
j8_0026,1079,54,evosuite,1,1,82.35,87.33,73.52,5.96,203.2,cpu_seconds
j8_0027,342,27,evosuite,1,1,93.56,99.36,96.56,4.39,124.0,cpu_seconds
j8_0028,534,49,evosuite,1,1,93.04,98.13,76.67,6.62,129.5,cpu_seconds
j8_0029,1816,84,evosuite,1,1,74.89,84.81,71.03,5.5,241.5,cpu_seconds
j8_0030,326,11,evosuite,1,1,70.09,80.25,58.71,8.22,134.3,cpu_seconds
