# RQ7 -- the budget-normalised control arms, per class (tab:rq7_controls).
# Same 2,000 classes as per_class_controls.csv, and for zero-shot and dynamic the same
# draw: compiled_loop_off equals compiled_initially there and tokens_loop_on equals tokens.
# tokens_loop_off is generation alone; tokens_loop_on adds 6,400 per correction iteration.
# compiled_loop_on is a superset of compiled_loop_off: the loop only repairs what failed.
class_id,loc,cyclomatic_complexity,arm,llm_calls,tokens,compiled_initially,mutation_score
s_0000,493,23,zero-shot,1,15101,0,
s_0001,1078,40,zero-shot,1,3691,0,
s_0002,1983,77,zero-shot,1,6222,0,
s_0003,825,49,zero-shot,1,21478,1,42.21
s_0004,1511,88,zero-shot,1,4993,0,
s_0005,367,24,zero-shot,1,5366,1,34.53
s_0006,687,45,zero-shot,1,32198,1,65.53
s_0007,580,27,zero-shot,1,15684,0,
s_0008,1121,48,zero-shot,1,14557,1,66.07
s_0009,1419,76,zero-shot,1,37044,0,
s_0010,4867,146,zero-shot,1,9083,0,
s_0011,209,12,zero-shot,1,6994,1,41.18
s_0012,631,39,zero-shot,1,27545,0,
s_0013,502,16,zero-shot,1,7866,0,
s_0014,992,84,zero-shot,1,4325,0,
s_0015,1234,80,zero-shot,1,5233,1,48.21
s_0016,138,13,zero-shot,1,17667,1,56.58
s_0017,2583,96,zero-shot,1,2262,1,49.52
s_0018,335,13,zero-shot,1,6231,0,
s_0019,325,25,zero-shot,1,9579,0,
s_0020,1093,66,zero-shot,1,11637,0,
s_0021,921,23,zero-shot,1,5978,1,50.63
s_0022,1723,100,zero-shot,1,7687,0,
s_0023,215,8,zero-shot,1,9431,1,61.94
s_0024,568,29,zero-shot,1,12202,0,
s_0025,392,20,zero-shot,1,5420,1,58.43
s_0026,339,19,zero-shot,1,6585,0,
s_0027,2091,140,zero-shot,1,3700,0,
s_0028,2054,85,zero-shot,1,7715,1,43.40
s_0029,2508,199,zero-shot,1,10292,0,
s_0030,181,11,zero-shot,1,4044,1,45.05
s_0031,688,40,zero-shot,1,24541,0,
s_0032,540,44,zero-shot,1,4163,1,62.04
s_0033,309,13,zero-shot,1,14521,1,52.21
s_0034,357,30,zero-shot,1,2212,0,
s_0035,153,12,zero-shot,1,8255,1,45.19
s_0036,564,36,zero-shot,1,6257,1,52.82
s_0037,706,25,zero-shot,1,10588,1,60.57
s_0038,341,24,zero-shot,1,23557,1,54.75
s_0039,1508,121,zero-shot,1,8835,0,
s_0040,557,22,zero-shot,1,7344,1,58.79
s_0041,1655,68,zero-shot,1,5534,1,38.40
s_0042,1105,56,zero-shot,1,16501,1,65.53
s_0043,606,37,zero-shot,1,8551,1,49.57
s_0044,2406,200,zero-shot,1,12720,0,
s_0045,1748,81,zero-shot,1,6429,0,
s_0046,331,15,zero-shot,1,8402,0,
s_0047,1104,48,zero-shot,1,6291,0,
s_0048,2134,140,zero-shot,1,6122,0,
s_0049,617,30,zero-shot,1,4738,0,
s_0050,446,32,zero-shot,1,18781,1,72.68
s_0051,862,28,zero-shot,1,3933,0,
s_0052,866,38,zero-shot,1,5534,0,
s_0053,1046,59,zero-shot,1,7808,0,
s_0054,3163,141,zero-shot,1,3687,1,52.55
s_0055,2588,137,zero-shot,1,9788,1,41.32
s_0056,169,12,zero-shot,1,7384,0,
s_0057,451,21,zero-shot,1,10690,1,45.65
s_0058,2330,82,zero-shot,1,14265,0,
s_0059,1024,52,zero-shot,1,10419,1,54.05
s_0060,2951,146,zero-shot,1,29510,0,
s_0061,999,53,zero-shot,1,10641,1,36.61
s_0062,269,13,zero-shot,1,23265,0,
s_0063,1035,53,zero-shot,1,3870,0,
s_0064,1717,80,zero-shot,1,11884,1,65.43
s_0065,146,18,zero-shot,1,12030,0,
s_0066,847,16,zero-shot,1,5261,0,
s_0067,733,50,zero-shot,1,4122,1,53.23
s_0068,1645,71,zero-shot,1,7655,1,40.73
s_0069,150,9,zero-shot,1,5731,1,36.23
s_0070,1415,131,zero-shot,1,3334,0,
s_0071,1830,117,zero-shot,1,10884,0,
s_0072,1155,53,zero-shot,1,6432,0,
s_0073,1406,44,zero-shot,1,4084,1,44.41
s_0074,445,13,zero-shot,1,8437,1,39.35
s_0075,5208,229,zero-shot,1,8723,0,
s_0076,1315,65,zero-shot,1,3185,0,
s_0077,937,66,zero-shot,1,9135,1,70.85
s_0078,2167,118,zero-shot,1,7492,1,40.12
s_0079,248,23,zero-shot,1,2238,0,
s_0080,2413,84,zero-shot,1,5802,1,51.36
s_0081,361,19,zero-shot,1,4701,1,50.25
s_0082,835,36,zero-shot,1,8256,0,
s_0083,2299,103,zero-shot,1,8772,1,51.49
s_0084,732,35,zero-shot,1,14425,1,37.42
s_0085,2798,107,zero-shot,1,3057,1,39.91
s_0086,450,32,zero-shot,1,9145,1,62.14
s_0087,1005,32,zero-shot,1,6556,1,41.78
s_0088,1052,60,zero-shot,1,2898,0,
s_0089,1028,25,zero-shot,1,9687,1,67.25
s_0090,1364,72,zero-shot,1,8244,0,
s_0091,2480,90,zero-shot,1,4554,0,
s_0092,846,33,zero-shot,1,18899,1,60.08
s_0093,586,33,zero-shot,1,6393,1,45.32
s_0094,1443,30,zero-shot,1,17243,0,
s_0095,523,24,zero-shot,1,22757,1,50.39
s_0096,1257,49,zero-shot,1,3086,1,31.26
s_0097,2194,75,zero-shot,1,32105,1,42.05
s_0098,731,45,zero-shot,1,14021,0,
s_0099,1650,68,zero-shot,1,21670,1,25.28
s_0100,1416,61,zero-shot,1,17617,0,
s_0101,1319,52,zero-shot,1,8258,1,38.24
s_0102,159,15,zero-shot,1,5507,1,36.47
