# RQ7 -- the correction loop as a factor orthogonal to the strategy (tab:rq7_loop).
# Same 2,000 classes as per_class_controls.csv, and for zero-shot and dynamic the same
# draw: compiled_loop_off equals compiled_initially there and tokens_loop_on equals tokens.
# tokens_loop_off is generation alone; tokens_loop_on adds 6,400 per correction iteration.
# compiled_loop_on is a superset of compiled_loop_off: the loop only repairs what failed.
class_id,strategy,compiled_loop_off,compiled_loop_on,tokens_loop_off,tokens_loop_on
s_0000,zero-shot,0,1,5468,15101
s_0001,zero-shot,0,0,3691,3691
s_0002,zero-shot,0,1,6222,6222
s_0003,zero-shot,1,1,11689,21478
s_0004,zero-shot,0,0,4124,4993
s_0005,zero-shot,1,1,3620,5366
s_0006,zero-shot,1,1,6291,32198
s_0007,zero-shot,0,0,4772,15684
s_0008,zero-shot,1,1,3845,14557
s_0009,zero-shot,0,1,7732,37044
s_0010,zero-shot,0,0,5630,9083
s_0011,zero-shot,1,1,5602,6994
s_0012,zero-shot,0,1,8553,27545
s_0013,zero-shot,0,1,7048,7866
s_0014,zero-shot,0,0,4325,4325
s_0015,zero-shot,1,1,5233,5233
s_0016,zero-shot,1,1,5843,17667
s_0017,zero-shot,1,1,1701,2262
s_0018,zero-shot,0,1,6231,6231
s_0019,zero-shot,0,1,9579,9579
s_0020,zero-shot,0,0,9079,11637
s_0021,zero-shot,1,1,5098,5978
s_0022,zero-shot,0,1,7292,7687
s_0023,zero-shot,1,1,6401,9431
s_0024,zero-shot,0,1,6226,12202
s_0025,zero-shot,1,1,4558,5420
s_0026,zero-shot,0,1,5514,6585
s_0027,zero-shot,0,1,3700,3700
s_0028,zero-shot,1,1,7715,7715
s_0029,zero-shot,0,0,3518,10292
s_0030,zero-shot,1,1,4044,4044
s_0031,zero-shot,0,1,2419,24541
s_0032,zero-shot,1,1,4163,4163
s_0033,zero-shot,1,1,6208,14521
s_0034,zero-shot,0,1,2212,2212
s_0035,zero-shot,1,1,3902,8255
s_0036,zero-shot,1,1,3508,6257
s_0037,zero-shot,1,1,5538,10588
s_0038,zero-shot,1,1,6249,23557
s_0039,zero-shot,0,1,8286,8835
s_0040,zero-shot,1,1,5546,7344
s_0041,zero-shot,1,1,3293,5534
s_0042,zero-shot,1,1,8853,16501
s_0043,zero-shot,1,1,4344,8551
s_0044,zero-shot,0,1,4697,12720
s_0045,zero-shot,0,1,6429,6429
s_0046,zero-shot,0,1,6048,8402
s_0047,zero-shot,0,1,3627,6291
s_0048,zero-shot,0,0,6122,6122
s_0049,zero-shot,0,1,4738,4738
s_0050,zero-shot,1,1,7864,18781
s_0051,zero-shot,0,1,3933,3933
s_0052,zero-shot,0,0,5534,5534
s_0053,zero-shot,0,0,2765,7808
s_0054,zero-shot,1,1,3687,3687
s_0055,zero-shot,1,1,7203,9788
s_0056,zero-shot,0,1,5368,7384
s_0057,zero-shot,1,1,9457,10690
s_0058,zero-shot,0,0,9389,14265
s_0059,zero-shot,1,1,4524,10419
s_0060,zero-shot,0,1,7421,29510
s_0061,zero-shot,1,1,5058,10641
s_0062,zero-shot,0,1,3758,23265
s_0063,zero-shot,0,1,3870,3870
s_0064,zero-shot,1,1,9951,11884
s_0065,zero-shot,0,1,3208,12030
s_0066,zero-shot,0,0,4177,5261
s_0067,zero-shot,1,1,4122,4122
s_0068,zero-shot,1,1,5109,7655
s_0069,zero-shot,1,1,1770,5731
s_0070,zero-shot,0,1,3141,3334
s_0071,zero-shot,0,0,4387,10884
s_0072,zero-shot,0,0,5722,6432
s_0073,zero-shot,1,1,2960,4084
s_0074,zero-shot,1,1,6878,8437
s_0075,zero-shot,0,1,6693,8723
s_0076,zero-shot,0,1,3185,3185
s_0077,zero-shot,1,1,6436,9135
s_0078,zero-shot,1,1,6781,7492
s_0079,zero-shot,0,1,2238,2238
s_0080,zero-shot,1,1,5802,5802
s_0081,zero-shot,1,1,4701,4701
s_0082,zero-shot,0,0,3413,8256
s_0083,zero-shot,1,1,8772,8772
s_0084,zero-shot,1,1,5408,14425
s_0085,zero-shot,1,1,3057,3057
s_0086,zero-shot,1,1,4561,9145
s_0087,zero-shot,1,1,6556,6556
s_0088,zero-shot,0,1,2898,2898
s_0089,zero-shot,1,1,8391,9687
s_0090,zero-shot,0,1,5506,8244
s_0091,zero-shot,0,1,4167,4554
s_0092,zero-shot,1,1,3789,18899
s_0093,zero-shot,1,1,4196,6393
s_0094,zero-shot,0,1,4950,17243
s_0095,zero-shot,1,1,3824,22757
s_0096,zero-shot,1,1,2857,3086
s_0097,zero-shot,1,1,4073,32105
s_0098,zero-shot,0,1,11291,14021
s_0099,zero-shot,1,1,7577,21670
s_0100,zero-shot,0,0,8558,17617
s_0101,zero-shot,1,1,4923,8258
s_0102,zero-shot,1,1,4824,5507
s_0103,zero-shot,1,1,5814,11801
s_0104,zero-shot,1,1,8811,8811
s_0105,zero-shot,0,1,4633,4633
s_0106,zero-shot,1,1,4893,9418
s_0107,zero-shot,1,1,9261,18988
s_0108,zero-shot,1,1,8668,12671
s_0109,zero-shot,0,1,4377,7444
s_0110,zero-shot,1,1,2276,3049
s_0111,zero-shot,1,1,7216,7216
s_0112,zero-shot,1,1,3309,3309
s_0113,zero-shot,0,0,4576,5767
s_0114,zero-shot,1,1,7930,23984
s_0115,zero-shot,0,1,4380,5588
s_0116,zero-shot,0,1,4998,6606
s_0117,zero-shot,1,1,4703,6599
s_0118,zero-shot,1,1,3543,5415
s_0119,zero-shot,1,1,6564,35572
s_0120,zero-shot,0,1,6388,6388
s_0121,zero-shot,0,1,6451,9161
s_0122,zero-shot,0,1,8245,11160
s_0123,zero-shot,1,1,3804,3804
s_0124,zero-shot,1,1,6313,20020
s_0125,zero-shot,1,1,6440,6440
s_0126,zero-shot,1,1,6750,6750
s_0127,zero-shot,0,1,4672,4672
s_0128,zero-shot,1,1,7514,11558
s_0129,zero-shot,1,1,3865,6465
s_0130,zero-shot,1,1,4164,4404
s_0131,zero-shot,1,1,5158,34448
s_0132,zero-shot,0,0,6737,6737
s_0133,zero-shot,1,1,2041,5562
s_0134,zero-shot,0,1,3809,14673
s_0135,zero-shot,0,1,5644,5644
s_0136,zero-shot,1,1,3305,3305
s_0137,zero-shot,1,1,4134,20295
s_0138,zero-shot,0,0,2906,5257
s_0139,zero-shot,0,1,6257,9932
s_0140,zero-shot,0,0,1824,22814
s_0141,zero-shot,0,1,4870,4870
s_0142,zero-shot,1,1,5930,8132
s_0143,zero-shot,1,1,7836,7836
s_0144,zero-shot,0,1,7253,14942
s_0145,zero-shot,1,1,5802,6905
s_0146,zero-shot,0,1,3958,24762
s_0147,zero-shot,1,1,4262,9767
s_0148,zero-shot,0,0,4714,68356
s_0149,zero-shot,0,1,8492,15702
s_0150,zero-shot,1,1,4046,33141
s_0151,zero-shot,0,1,16646,21364
s_0152,zero-shot,1,1,6250,15446
s_0153,zero-shot,1,1,5004,17329
s_0154,zero-shot,0,1,4432,4760
s_0155,zero-shot,0,0,4794,11140
s_0156,zero-shot,1,1,6723,9053
s_0157,zero-shot,0,1,3971,7266
s_0158,zero-shot,1,1,9467,9467
s_0159,zero-shot,1,1,4609,4609
s_0160,zero-shot,0,1,5534,5534
s_0161,zero-shot,0,1,5570,5933
s_0162,zero-shot,1,1,5249,9370
s_0163,zero-shot,0,1,6569,7684
s_0164,zero-shot,1,1,7470,7470
s_0165,zero-shot,1,1,9360,12489
s_0166,zero-shot,0,1,12511,12537
s_0167,zero-shot,1,1,5482,19381
s_0168,zero-shot,0,0,4323,47226
s_0169,zero-shot,1,1,9133,23845
s_0170,zero-shot,1,1,6643,9614
s_0171,zero-shot,1,1,11058,24598
s_0172,zero-shot,0,1,5658,17217
s_0173,zero-shot,1,1,7724,7724
s_0174,zero-shot,1,1,8257,23482
s_0175,zero-shot,1,1,9923,9923
s_0176,zero-shot,0,1,6832,24702
