# Per-bug fault-category labels for all 835 Defects4J bugs (paper Sec. 4.5, tab:undetected_faults).
# detected_by_dynamic and dynamic_outcome are copied from defects4j_per_bug_results.csv so the
# two files cannot drift apart. 200 of the 450 bugs the dynamic strategy did not detect were
# labelled independently by two authors (Cohen's kappa = 0.78); the 29 discordant cases are in
# annotation_disagreements.csv. The rest carry rule-based labels derived from those.
bug_id,project,class_name,detected_by_dynamic,dynamic_outcome,category,ripr_condition,label_source,annotator_a,annotator_b
Chart-1,Chart,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,1,detects_bug,No structural obstacle,-,rule-based,,
Chart-2,Chart,org.jfree.data.general.DatasetUtilities,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Complex Object Construction
Chart-3,Chart,org.jfree.chart.axis.ValueAxis,0,no_compile,State-Dependent Call Sequences,infection,manual,State-Dependent Call Sequences,State-Dependent Call Sequences
Chart-4,Chart,org.jfree.data.statistics.Statistics,0,fails_both,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Chart-5,Chart,org.jfree.chart.axis.ValueAxis,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Chart-6,Chart,org.jfree.data.time.TimeSeries,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Chart-7,Chart,org.jfree.chart.block.BorderArrangement,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Chart-8,Chart,org.jfree.chart.plot.XYPlot,0,fails_both,State-Dependent Call Sequences,infection,rule-based,,
Chart-9,Chart,org.jfree.chart.axis.ValueAxis,0,no_compile,No structural obstacle,-,manual,No structural obstacle,Absent Automated Oracle
Chart-10,Chart,org.jfree.data.time.TimeSeries,1,detects_bug,No structural obstacle,-,rule-based,,
Chart-11,Chart,org.jfree.chart.plot.XYPlot,0,encodes_bug,Absent Automated Oracle,revealability,rule-based,,
Chart-12,Chart,org.jfree.chart.plot.CategoryPlot,1,detects_bug,No structural obstacle,-,rule-based,,
Chart-13,Chart,org.jfree.data.statistics.Statistics,0,fails_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Chart-14,Chart,org.jfree.chart.block.BorderArrangement,1,detects_bug,No structural obstacle,-,rule-based,,
Chart-15,Chart,org.jfree.data.time.TimeSeries,0,encodes_bug,State-Dependent Call Sequences,infection,rule-based,,
Chart-16,Chart,org.jfree.chart.JFreeChart,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Chart-17,Chart,org.jfree.chart.block.BorderArrangement,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
